Use Case Name,Custom Metadata Field: Ticket Number,Custom Metadata Field: Jira Ticket,TBD - Workflow Stage or Status,Metadata Field or Question,Purpose of Use Case Description,Purpose of Use Case Description
Generative AI Tool ,ticket number,jira ticket,Status,Prompts ,Purpose of Use,Response to Request
 Super Resolution Generative Adversarial Network (SRGAN),87,https://jira.autodesk.com/browse/GENAIGOV-87,Approved, customer-facing features' thumbnailsexamples: https://damassets.autodesk.net/content/dam/autodesk/www/products/bim-collaborate/fy23/features/images/connected-issues-thumb-370x218.jpghttps://damassets.autodesk.net/content/dam/autodesk/www/products/bim-collaborate/fy23/features/images/collaboration-for-plant-3d-thumb-370x218.jpg\\,"While creating a feature pages for our Autodesk products there are situations when Visual Production Artist needs to create a close up still image from the video to show as a feature thumb. We test our designs with customers and have customer feedback that when we fit the entire software screenshot into the page the customer can't read the tiny text and they don't understand the image very well. So we are creating an extremely close-up cropped images and most of the cases the original resolution of the videos we are using from Partners doesn’t allow us to make a sharp and crisp image. I have an idea about upscaling those low resolution images with the use of generative adversarial network (GAN).For my personal use I am using this project: Github.com/waifu2xIt works great from my personal experience, and this would be super helpful when upscaling some pieces of UI for close-up crops for thumbnails as I have mentioned before.This tool is an open source and is not presented in the Pre-approved Use Cases for Generative AI Technology so I wanted to raise a Generative AI request to have permission to work with it.  I have already discussed this idea with my Managers: Borys Schrade, Jonathan Dunn and my colleagues from Visual production team Alex Alcancia-Shaw and Holly Nature. To summarize some legal issues:It will be used on the customer facing web pagesIt will provide better quality of images which will lead in the higher visual quality of some of our pagesThere will be no confidential information uploaded to and GAN since all the assets will be available online for any user worldwide once published anyway","Please work with your LBP to ensure that the assets you provide to the Generative AI tool for the sole purpose of improving image resolution of such assets are publicly available and do not include Autodesk confidential or proprietary information, or any Partner’s or customer’s confidential or proprietary information"
Abacus Agent AI and ChatLLM,144,https://jira.autodesk.com/browse/GENAIGOV-144,Approved,persona based prompts: Generate an Outreach email to introduce Data visualization services in our products’ ‘Generate copy for a retail focused webpage.’ ‘Generate a short write up introducing sustainability in construction,create content clusters - industry specific content ,"Your request to use Abacus Agent AI and ChatLLM – Custom LLM Chat is approved. Please work with Supplier Central to obtain the appropriate licenses. To the extent that you use a SaaS solution/tool, please ensure that (a) you do not share any confidential, proprietary or personal information of Autodesk (business or employee) or our customers/partners with the tool, OR (b) any such information is not used by the vendor for product improvement purposes or training the tool’s algorithms."
Absorb LMS - Absorb Create ,201,https://jira.autodesk.com/browse/GENAIGOV-201,Approved,"text descriptions, documentation ",developing learning materials ,"Your request to use the Absorb AI content generation feature in Absorb LMS Platform to improve efficiency in use of Airtable is approved; provided that:
a.        You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
b.        No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models, and
c.         To the extent you wish to include any AI output in any external-facing learning content, you must first fact-check and rephrase the content when possible in order to avoid accusations of plagiarism and to ensure adequate quality."
Adobe Firefly ,157,https://jira.autodesk.com/browse/GENAIGOV-157,Approved, Generative AI image and text creations in Adobe Photoshop and Illustrator. ,"image and text generation in photoshop, illustrator, express and adobe stock ","The described use case is approved; provided, that confidential/proprietary information and images of Autodesk or customer are not shared with the Gen AI tool and you submit a Supplier Central ticket in relation to this Generative AI tool. If you have been directed here by SC, please proceed with Privacy, Security and Legal review, each as applicable in relation to this tool."""
AI Image Upscaler,155,https://jira.autodesk.com/browse/GENAIGOV-155,Approved,Software screenshots or video stills that are used in customer-facing features’ thumbnails examples,increase image resolution (tool uses GAN) ," The described use case is approved; provided, that confidential/proprietary information and images of Autodesk or customer are not shared with the Gen AI tool and you submit a Supplier Central ticket in relation to this image upscaler tool. If you have been directed here by SC, please proceed with Privacy, Security and Legal review, each as applicable in relation to this Generative AI tool"
Airtable AI Extension,126,https://jira.autodesk.com/browse/GENAIGOV-126,Approved,"Feature requests, feature enhancement requests, general product feedback, logged usability issues","sentiment analysis on feedback, writing airtable formulas ","""Your request to use Airtable AI is approved provided you (a) go to Supplier Central with your request and obtain legal approval to terms; (b) work with your Legal Business Partner to ensure that confidential information is not used by Airtable for training its ML models"
Amazon Nova AI Video Content Analyzer,109,https://jira.autodesk.com/browse/GENAIGOV-109,Approved,analyze videos and images on Autodesk.com.," improve the efficiency of the visual production artists at Autodesk. Watching and analyzing videos to detect issues that do not meet our Web Visual Standards take several hours each sprint. This tool, the video content analyzer, can for instance detect text in videos, employee names and avatars and more.","Your request to use Nova is approved provided that you do not input or share any scripts/video/audio with Nova that include confidential or personal information of Autodesk, it's employees or customers/partners, and you submit a supplier central ticket to get a license to purchase this tool. Note that you may need to get written consent from any employee whose voice or image recording you intend to share with Nova for purposes of this work. Please reach out to your legal business partner to assist you with this."""
Amazon Q,154,https://jira.autodesk.com/browse/GENAIGOV-154,Approved,Can you tell me how many instance of <<AWS service>> we have in our environment?Can you create a dashboard to show all EC2 instances that have run at less than 50% CPU load on average for the last month?Can you provide rightsizing optimizations for <<specific moniker tag>>?,"optimize AWS environment, chatbot, propose code changes, generate unit tests ","The evaluation 
described is approved; provided, that you submit a Supplier Central ticket in relation to these new Generative AI features. If you have been directed here by SC, please proceed with Privacy, Security and Legal review, each as applicable in relation to this new feature"
Amazon Q,217,https://jira.autodesk.com/browse/GENAIGOV-217,Approved,"How to setup an aurora database, which level of the storage shall I use?Where can I find the scaling policy configuration of a service?Could you analyze the project and upgrade it to Java 11? Could you generate the unit test of this method?","Use Amazon Q as a chat bot in the AWS console to provide guidance on the AWS setup and configurationUse Amazon Q on codebase to facilitate the language/framework version upgrade, in this case Amazon Q will scan the codebase, and propose code changes to upgrade the language/framework upgrade, our engineer will review and test it before we deploy those changes.In the future, we could also use Amazon Q to generate unit tests, analyze the code and find potential issues etc. ","Thank you for your request. Please be sure your Legal Business Partners (Susie Berg and Paula Kerlin) have reviewed your proposal. In addition, please consider whether GitHub Copilot or Azure OpenAI services are able to provide this service. For more information about AI/ML solutions for code generation at Autodesk, you may reach out to Tulika Garg. "
